method,group,n_tasks,amplification
base,attn(k/v),5,1.0758
base,attn,5,1.0617
base,mlp,5,1.0341
base,embed,5,1.5169
base,norm,5,1.0741
freeze,attn(k/v),5,1.0758
freeze,attn,5,1.0615
freeze,mlp,5,1.0334
freeze,embed,5,nan
freeze,norm,5,1.0971
lora,attn(k/v),5,1.0187
base,attn(k/v),2,1.0178
base,attn(k/v),3,1.0368
base,attn(k/v),4,1.0562
base,attn(k/v),5,1.0758
base,attn,2,1.0141
base,attn,3,1.0295
base,attn,4,1.0455
base,attn,5,1.0617
base,mlp,2,1.0077
base,mlp,3,1.0163
base,mlp,4,1.0252
base,mlp,5,1.0341
base,embed,2,1.1279
base,embed,3,1.2593
base,embed,4,1.3928
base,embed,5,1.5169
base,norm,2,1.0180
base,norm,3,1.0368
base,norm,4,1.0557
base,norm,5,1.0741
freeze,attn(k/v),2,1.0180
freeze,attn(k/v),3,1.0369
freeze,attn(k/v),4,1.0563
freeze,attn(k/v),5,1.0758
freeze,attn,2,1.0142
freeze,attn,3,1.0295
freeze,attn,4,1.0454
freeze,attn,5,1.0615
freeze,mlp,2,1.0076
freeze,mlp,3,1.0160
freeze,mlp,4,1.0247
freeze,mlp,5,1.0334
freeze,embed,2,nan
freeze,embed,3,nan
freeze,embed,4,nan
freeze,embed,5,nan
freeze,norm,2,1.0224
freeze,norm,3,1.0468
freeze,norm,4,1.0720
freeze,norm,5,1.0971
lora,attn(k/v),2,1.0050
lora,attn(k/v),3,1.0093
lora,attn(k/v),4,1.0140
lora,attn(k/v),5,1.0187
