target,signal,n_combos,selected,n_tasks,acc,nai,best_coef,oracle_combo,oracle_acc,regret,rank,pct,rho,overlap_at_k
mrpc,oracle,4083,record+hellaswag,2,0.6838235294117647,0.8052325581395349,0.8,record+hellaswag,0.6838235294117647,0.0,1,0.0002449179524859172,,
mrpc,random,4083,(mean over all mixtures),-1,0.35750457420293613,0.41820309963604047,,record+hellaswag,0.6838235294117647,0.3263189552088286,885,0.21675238795003673,,
mrpc,all,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.3161764705882353,0.3691860465116279,0.05,record+hellaswag,0.6838235294117647,0.36764705882352944,1882,0.4609355865784962,,
mrpc,cos_mix,4083,qnli+sst2+anli_r1+paws+imdb,5,0.321078431372549,0.375,0.1,record+hellaswag,0.6838235294117647,0.36274509803921573,1597,0.3911339701200098,-0.39000917989772366,0.0
mrpc,dot_mix,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.3161764705882353,0.3691860465116279,0.05,record+hellaswag,0.6838235294117647,0.36764705882352944,1882,0.4609355865784962,-0.49448796574037096,0.0
mrpc,ts_cos,4083,anli_r1+imdb,2,0.4509803921568627,0.5290697674418605,0.4,record+hellaswag,0.6838235294117647,0.23284313725490202,500,0.12245897624295861,-0.08677685363321316,0.0
mrpc,ts_dot,4083,mnli+qqp,2,0.3161764705882353,0.3691860465116279,0.1,record+hellaswag,0.6838235294117647,0.36764705882352944,1882,0.4609355865784962,-0.533077778143205,0.0
mrpc,kc_cos,4083,mnli+snli,2,0.3455882352941176,0.4040697674418604,0.1,record+hellaswag,0.6838235294117647,0.33823529411764713,1004,0.2458976242958609,0.042088036150840724,0.0
mrpc,kc_dot,4083,mnli+snli,2,0.3455882352941176,0.4040697674418604,0.1,record+hellaswag,0.6838235294117647,0.33823529411764713,1004,0.2458976242958609,-0.2049589333897046,0.0
mrpc,sar,4083,qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag,7,0.3235294117647059,0.3779069767441861,0.1,record+hellaswag,0.6838235294117647,0.3602941176470588,1477,0.36174381582169973,-0.1618951063541303,0.0
mrpc,sar_iso,4083,qnli+anli_r1+paws+imdb,4,0.3161764705882353,0.3691860465116279,0.1,record+hellaswag,0.6838235294117647,0.36764705882352944,1882,0.4609355865784962,-0.5142727337716998,0.0
boolq,oracle,4083,qnli+record+paws+hellaswag+winogrande,5,0.6990825688073394,0.707147814018043,0.35,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.0,1,0.0002449179524859172,,
boolq,random,4083,(mean over all mixtures),-1,0.4801202270022417,0.21026588639648186,,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.21896234180509772,2536,0.621111927504286,,
boolq,all,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.1073394495412844,-0.6356696738376127,0.05,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.591743119266055,3983,0.9755082047514083,,
boolq,cos_mix,4083,anli_r1+paws,2,0.590519877675841,0.460791117279667,0.15,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.10856269113149841,746,0.18270879255449424,0.22924687010207231,0.0
boolq,dot_mix,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.1073394495412844,-0.6356696738376127,0.05,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.591743119266055,3983,0.9755082047514083,-0.21986697655026696,0.0
boolq,ts_cos,4083,qnli+paws,2,0.6259938837920489,0.5412907702984039,0.45,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.07308868501529053,158,0.03869703649277492,0.40560961133304535,0.0
boolq,ts_dot,4083,qnli+paws,2,0.6259938837920489,0.5412907702984039,0.45,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.07308868501529053,158,0.03869703649277492,0.13924454050548515,0.0
boolq,kc_cos,4083,mnli+snli,2,0.5620795107033639,0.3962526023594726,0.05,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.1370030581039755,1235,0.3024736713201078,-0.27800500070013034,0.0
boolq,kc_dot,4083,mnli+snli,2,0.5620795107033639,0.3962526023594726,0.05,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.1370030581039755,1235,0.3024736713201078,-0.34963878580007157,0.0
boolq,sar,4083,qnli+record+paws+imdb+squad_v2+hellaswag+winogrande,7,0.6070336391437309,0.498265093684941,0.05,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.09204892966360856,382,0.09355865784962038,0.4385153441733764,0.0
boolq,sar_iso,4083,anli_r1+paws,2,0.590519877675841,0.460791117279667,0.15,qnli+record+paws+hellaswag+winogrande,0.6990825688073394,0.10856269113149841,746,0.18270879255449424,0.3944471455423202,0.0
rte,oracle,4083,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,8,0.8411552346570397,1.1172413793103448,0.25,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.0,1,0.0002449179524859172,,
rte,random,4083,(mean over all mixtures),-1,0.6169748477220421,0.6889795366827975,,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.22418038693499753,1704,0.41734019103600295,,
rte,all,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.5812274368231047,0.6206896551724139,0.05,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.25992779783393494,2198,0.538329659564046,,
rte,cos_mix,4083,qnli+anli_r1+imdb,3,0.6823104693140795,0.8137931034482759,0.35,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.15884476534296021,1183,0.28973793779084006,0.1909753116711123,0.0
rte,dot_mix,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.5812274368231047,0.6206896551724139,0.05,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.25992779783393494,2198,0.538329659564046,0.18210550844568713,0.0
rte,ts_cos,4083,qnli+anli_r1,2,0.7292418772563177,0.9034482758620692,0.4,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.11191335740072195,843,0.2064658339456282,0.06342068699660022,0.0
rte,ts_dot,4083,mnli+qnli,2,0.5270758122743683,0.517241379310345,0.1,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.3140794223826714,2961,0.7252020573108009,0.07683199057841045,0.0
rte,kc_cos,4083,mnli+snli,2,0.5270758122743683,0.517241379310345,0.05,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.3140794223826714,2961,0.7252020573108009,-0.0648906080824488,0.0
rte,kc_dot,4083,mnli+snli,2,0.5270758122743683,0.517241379310345,0.05,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.3140794223826714,2961,0.7252020573108009,0.0265957444628558,0.0
rte,sar,4083,qnli+anli_r1+imdb+squad_v2+hellaswag,5,0.6967509025270758,0.8413793103448277,0.35,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.14440433212996384,1122,0.2747979426891991,0.23111037315040417,0.0
rte,sar_iso,4083,qnli+anli_r1,2,0.7292418772563177,0.9034482758620692,0.4,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,0.8411552346570397,0.11191335740072195,843,0.2064658339456282,0.13404215507097647,0.0
cola,oracle,4083,record+imdb+hellaswag,3,0.6740172579098753,0.0571428571428566,0.3,record+imdb+hellaswag,0.6740172579098753,0.0,1,0.0002449179524859172,,
cola,random,4083,(mean over all mixtures),-1,0.5513330886502015,-0.6740547916447993,,record+imdb+hellaswag,0.6740172579098753,0.12268416925967385,2190,0.5363703159441587,,
cola,all,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.5321188878235859,-0.7885714285714287,0.05,record+imdb+hellaswag,0.6740172579098753,0.14189837008628947,3028,0.7416115601273573,,
cola,cos_mix,4083,qnli+sst2+anli_r1+paws+imdb,5,0.5666347075743049,-0.5828571428571431,0.1,record+imdb+hellaswag,0.6740172579098753,0.10738255033557043,1506,0.36884643644379134,0.32810407512252504,0.1
cola,dot_mix,4083,mnli+qnli+qqp+sst2+record+snli+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,12,0.5321188878235859,-0.7885714285714287,0.05,record+imdb+hellaswag,0.6740172579098753,0.14189837008628947,3028,0.7416115601273573,0.1957809972166949,0.0
cola,ts_cos,4083,anli_r1+imdb,2,0.6653883029721956,0.0057142857142858,0.3,record+imdb+hellaswag,0.6740172579098753,0.008628954937679678,7,0.0017144256674014205,0.579392291580908,0.1
