method,combo,n_tasks,best_coef,mean_acc,min_acc,mean_ret,min_ret,oracle_min_ret
lora,mnli+qnli,2,0.65,0.8822400382810496,0.879919458173165,0.9532945736434109,0.9315891472868217,0.937984496124031
lora,mnli+qnli+qqp,3,0.55,0.8256651947887169,0.8061504667764964,0.8979004752361744,0.8534883720930232,0.8534883720930232
lora,mnli+qnli+qqp+record,4,0.45,0.7340533472891717,0.5130469161834476,0.8901553732790459,0.8315022421524664,0.8539237668161435
lora,mnli+qnli+qqp+sst2,4,0.5,0.8428625606067264,0.7480675345809601,0.903682358707846,0.8245515695067264,0.8376681614349776
lora,mnli+qnli+qqp+sst2+record,5,0.35000000000000003,0.7586478570290748,0.48767791249341064,0.88457968046141,0.7368834080717488,0.7815022421524663
lora,mnli+qnli+record,3,0.55,0.7382101958235677,0.5653663679493938,0.9335690353934996,0.8461883408071749,0.9051569506726457
lora,mnli+qnli+sst2,3,0.6000000000000001,0.8897061827352006,0.8342148087876322,0.9467526303631374,0.9195067264573991,0.9461240310077519
lora,mnli+qnli+sst2+record,4,0.4,0.7436637044727766,0.5261597258829731,0.8873530640083185,0.7241031390134528,0.8556053811659192
lora,mnli+qqp,2,0.7000000000000001,0.8713600408706487,0.8641602770220134,0.9597079733278029,0.9510302964313907,0.9526635272341236
lora,mnli+qqp+record,3,0.55,0.7322559376599796,0.5370980495519241,0.9326776483572027,0.8976457399103138,0.9216367713004484
lora,mnli+qqp+sst2,3,0.65,0.8711707647780352,0.8235353946297803,0.9388251945694002,0.9077354260089686,0.9089686098654708
lora,mnli+qqp+sst2+record,4,0.45,0.7575687133385002,0.5066552451238798,0.907960093130085,0.7950672645739909,0.8039237668161434
lora,mnli+record,2,0.7000000000000001,0.734973543940949,0.629019504480759,1.0315319436008723,0.9269058295964125,0.9581838565022421
lora,mnli+sst2,2,0.8500000000000001,0.9227797642597473,0.8891375101708706,0.9852718277004355,0.9800448430493273,0.9800448430493273
lora,mnli+sst2+record,3,0.6000000000000001,0.7425632850554224,0.540722192936215,0.9241618756492462,0.8065022421524662,0.9102017937219731
lora,qnli+qqp,2,0.75,0.8334466063132691,0.8138385502471169,0.9002180964505082,0.8616279069767441,0.8637596899224806
lora,qnli+qqp+record,3,0.5,0.7357238890558516,0.5904717975751186,0.9376715026661304,0.8290697674418605,0.8290697674418605
lora,qnli+qqp+sst2,3,0.55,0.8478905274932957,0.7847336628226249,0.9017238869685377,0.8308139534883721,0.8523255813953489
lora,qnli+qqp+sst2+record,4,0.45,0.7826430391356145,0.5503426462836057,0.9346458409805007,0.850968992248062,0.8684108527131782
lora,qnli+record,2,0.75,0.8351824286658964,0.7688455455983131,1.1715871682452867,0.9544573643410852,0.9647286821705425
lora,qnli+sst2,2,0.8,0.939366917058376,0.9154310818231741,0.9834053747997569,0.9691860465116279,0.9711240310077519
lora,qnli+sst2+record,3,0.55,0.8148216220863094,0.6457564575645757,1.0162642947926173,0.8990310077519379,0.927906976744186
lora,qqp+record,2,0.7000000000000001,0.762570163637575,0.6333025830258303,1.062692180890361,0.98149005090236,0.98149005090236
lora,qqp+sst2,2,0.75,0.923016846423879,0.8896116744991343,0.9847695085249022,0.9790402046982605,0.9829871791381984
lora,qqp+sst2+record,3,0.55,0.8028201316904632,0.570044807590933,0.9969302999762902,0.9706562865775649,0.9706562865775649
lora,sst2+record,2,0.9,0.8810706668665638,0.8068661043753295,1.2233511306266294,0.9893111638954869,0.994061757719715
