method,combo,n_tasks,task,nai,sar,sar_iso
base,mnli+qnli,2,mnli,0.8247761532358607,0.9323104023933411,0.9893633127212524
base,mnli+qnli,2,qnli,0.528152260111023,0.8553351163864136,0.9588189721107483
base,mnli+qnli+qqp,3,mnli,0.4768219426498922,0.9000669717788696,0.9719549417495728
base,mnli+qnli+qqp,3,qnli,0.6455194290245837,0.8341045379638672,0.947162926197052
base,mnli+qnli+qqp,3,qqp,0.6777813495426517,0.8902623057365417,0.9693698883056641
base,mnli+qnli+qqp+record,4,mnli,0.43443273263062443,0.8980393409729004,0.9662030339241028
base,mnli+qnli+qqp+record,4,qnli,0.6661379857256146,0.8421813249588013,0.9427070617675781
base,mnli+qnli+qqp+record,4,qqp,0.6778982436657996,0.8895763754844666,0.9633634686470032
base,mnli+qnli+qqp+record,4,record,0.3997979117547995,0.7823577523231506,0.9420035481452942
base,mnli+qnli+qqp+sst2,4,mnli,0.5422191998186556,0.8969346284866333,0.9696211218833923
base,mnli+qnli+qqp+sst2,4,qnli,0.6728786677240285,0.8323395848274231,0.9458972215652466
base,mnli+qnli+qqp+sst2,4,qqp,0.6779859142581607,0.8868040442466736,0.967507004737854
base,mnli+qnli+qqp+sst2,4,sst2,0.9405737704918035,0.8137938380241394,0.9393705725669861
base,mnli+qnli+qqp+sst2+record,5,mnli,0.5064037175563866,0.8950804471969604,0.9643473029136658
base,mnli+qnli+qqp+sst2+record,5,qnli,0.6913164155432197,0.8399339318275452,0.9417462944984436
base,mnli+qnli+qqp+sst2+record,5,qqp,0.6778690201350127,0.8862430453300476,0.9618967771530151
base,mnli+qnli+qqp+sst2+record,5,sst2,0.9631147540983606,0.8285444378852844,0.9353677034378052
base,mnli+qnli+qqp+sst2+record,5,record,0.40872347591781744,0.7773218154907227,0.9404850006103516
base,mnli+qnli+record,3,mnli,0.4731950583701688,0.9252964854240417,0.9794274568557739
base,mnli+qnli+record,3,qnli,0.6052735923869944,0.8656232953071594,0.9511624574661255
base,mnli+qnli+record,3,record,0.614011451667228,0.8247362971305847,0.9547950029373169
base,mnli+qnli+sst2,3,mnli,0.47466848010880647,0.9256048202514648,0.985155463218689
base,mnli+qnli+sst2,3,qnli,0.5400475812846948,0.8544382452964783,0.9564184546470642
base,mnli+qnli+sst2,3,sst2,0.922131147540984,0.8364128470420837,0.9486261010169983
base,mnli+qnli+sst2+record,4,mnli,0.4535872152329139,0.9192193150520325,0.9763612747192383
base,mnli+qnli+sst2+record,4,qnli,0.5951625693893735,0.861467182636261,0.9495466947555542
base,mnli+qnli+sst2+record,4,sst2,0.8381147540983607,0.8485412001609802,0.9422705769538879
base,mnli+qnli+sst2+record,4,record,0.6181374200067363,0.8161501288414001,0.9524057507514954
base,mnli+qqp,2,mnli,0.9092145528731723,0.9099155068397522,0.9763503670692444
base,mnli+qqp,2,qqp,0.9483912446301762,0.8998918533325195,0.973541259765625
base,mnli+qqp+record,3,mnli,0.7532585288450641,0.9064257740974426,0.969524085521698
base,mnli+qqp+record,3,qqp,0.8344194745609164,0.8979992270469666,0.9665764570236206
base,mnli+qqp+record,3,record,0.4741495453014482,0.7954476475715637,0.9451214671134949
base,mnli+qqp+sst2,3,mnli,0.5502663493142921,0.906181275844574,0.9735720753669739
base,mnli+qqp+sst2,3,qqp,0.8019521318565709,0.8960892558097839,0.9713351130485535
base,mnli+qqp+sst2,3,sst2,0.8565573770491803,0.821040689945221,0.9416321516036987
base,mnli+qqp+sst2+record,4,mnli,0.5521931315878952,0.9026804566383362,0.9673746824264526
base,mnli+qqp+sst2+record,4,qqp,0.7870189076244191,0.8942412734031677,0.9648798704147339
base,mnli+qqp+sst2+record,4,sst2,0.9323770491803279,0.8308436274528503,0.9370939135551453
base,mnli+qqp+sst2+record,4,record,0.558521387672617,0.7898479700088501,0.943394124507904
base,mnli+record,2,mnli,0.9267822736030827,0.9380775094032288,0.9855918884277344
base,mnli+record,2,record,0.7853654429100707,0.8433531522750854,0.9601772427558899
base,mnli+sst2,2,mnli,0.6504590275416525,0.940148651599884,0.9931435585021973
base,mnli+sst2,2,sst2,0.8586065573770492,0.843176543712616,0.9529629945755005
base,mnli+sst2+record,3,mnli,0.719029808455174,0.9306785464286804,0.9817927479743958
base,mnli+sst2+record,3,sst2,0.7581967213114754,0.8566184639930725,0.9451605677604675
base,mnli+sst2+record,3,record,0.6986359043448972,0.8340875506401062,0.9572511315345764
base,qnli+qqp,2,qnli,0.5398493259318001,0.8638136982917786,0.9605503082275391
base,qnli+qqp,2,qqp,0.6891493030187906,0.9300685524940491,0.9887285232543945
base,qnli+qqp+record,3,qnli,0.5414353687549565,0.868765652179718,0.9521069526672363
base,qnli+qqp+record,3,qqp,0.6778690201350127,0.9212876558303833,0.9779009222984314
base,qnli+qqp+record,3,record,0.49006399461098005,0.8306900858879089,0.954789936542511
base,qnli+qqp+sst2,3,qnli,0.5414353687549565,0.8616414666175842,0.9575560688972473
base,qnli+qqp+sst2,3,qqp,0.6779859142581607,0.9237804412841797,0.9845842719078064
base,qnli+qqp+sst2,3,sst2,0.9385245901639347,0.8450782895088196,0.9511846899986267
base,qnli+qqp+sst2+record,4,qnli,0.5414353687549565,0.8654769659042358,0.9502005577087402
base,qnli+qqp+sst2+record,4,qqp,0.6778982436657996,0.9158126711845398,0.9750209450721741
base,qnli+qqp+sst2+record,4,sst2,0.9508196721311478,0.8526082038879395,0.9442762732505798
base,qnli+qqp+sst2+record,4,record,0.5094307847760189,0.8232902884483337,0.9520694017410278
base,qnli+record,2,qnli,0.9970261697065821,0.9121559858322144,0.9717784523963928
