method,combo,n_tasks,target,sar,sar_iso
base,record+snli+anli_r1+imdb+hellaswag,5,mrpc,0.5997397899627686,0.8615234260048185
base,record+snli+anli_r1+imdb+hellaswag,5,boolq,0.5889928553785596,0.8552154933235475
base,record+snli+anli_r1+imdb+hellaswag,5,rte,0.6512086452650172,0.8775286275361266
base,record+snli+anli_r1+imdb+hellaswag,5,cola,0.6030404863080808,0.8594756677214589
base,record+snli+anli_r1+imdb+hellaswag,5,cb,0.6971639203173774,0.9016848142657962
base,record+snli+anli_r1+imdb+hellaswag,5,scitail,0.6943287862730878,0.8869640260402646
base,record+snli+anli_r1+imdb+hellaswag,5,stsb,0.5463620049745909,0.8461582069950444
base,record+snli+anli_r1+imdb+hellaswag,5,cr,0.6918304825999907,0.8913189092917102
base,record+snli+anli_r1+imdb+hellaswag,5,rotten_tomatoes,0.712534616834351,0.896044812564339
base,record+snli+anli_r1+imdb+hellaswag,5,multirc,0.595811566204897,0.8572682128953082
base,record+snli+anli_r1+imdb+hellaswag,5,copa,0.5696625497990421,0.8513675896184785
base,record+snli+anli_r1+imdb+hellaswag,5,piqa,0.6410587445965835,0.8696901271385806
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,mrpc,0.603350297680923,0.8617722370794841
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,boolq,0.5941801107089434,0.8557304992739644
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,rte,0.6534761972725391,0.8772422447800636
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,cola,0.6065732945821115,0.8596605637243816
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,cb,0.6981153868670974,0.901051082781383
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,scitail,0.6962451620825699,0.8867522020425115
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,stsb,0.550651866743075,0.8463001333709274
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,cr,0.6953948922455311,0.8914037825805801
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,rotten_tomatoes,0.7151266703648227,0.8960206434130669
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,multirc,0.6001060994874153,0.8576281642807382
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,copa,0.5830243852521692,0.8540736575211797
base,record+snli+anli_r1+imdb+hellaswag+winogrande,6,piqa,0.6790487273995366,0.879252873893295
base,record+snli+anli_r1+imdb+squad_v2,5,mrpc,0.6286978921187776,0.8628059258418423
base,record+snli+anli_r1+imdb+squad_v2,5,boolq,0.6186576856832419,0.8561440852603742
base,record+snli+anli_r1+imdb+squad_v2,5,rte,0.6726563652711255,0.8765827018235411
base,record+snli+anli_r1+imdb+squad_v2,5,cola,0.6376242456691605,0.8616813631462199
base,record+snli+anli_r1+imdb+squad_v2,5,cb,0.7112516539969614,0.8977924894009318
