method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso,n_tied,n_candidates
base,qnli+record+paws+hellaswag+winogrande,5,boolq,0.35000000000000003,0.6990825688073394,0.707147814018043,0.7017619452838387,0.8790600909186261,1,4083
base,mnli+sst2+snli,3,cb,0.8,0.8928571428571429,1.25,0.5884686024593455,0.8937915510364941,67,4083
base,record+imdb+hellaswag,3,cola,0.30000000000000004,0.6740172579098753,0.05714285714285669,0.6390034308923143,0.8571821318141052,1,4083
base,hellaswag+winogrande,2,copa,0.35000000000000003,0.77,1.0444444444444445,0.5526476960097041,0.858421452609556,1,4083
base,sst2+record+anli_r1,3,cr,0.4,0.9335106382978723,0.9964664310954064,0.7584143414029053,0.9056345250989709,1,4083
base,record+hellaswag,2,mrpc,0.8,0.6838235294117647,0.8052325581395349,0.6168868563004902,0.8525769428483078,2,4083
base,mnli+qnli+anli_r1+paws,4,multirc,0.2,0.7572194719471947,0.7658196312904835,0.6346449269247907,0.8789032862654754,1,4083
base,imdb+hellaswag+winogrande,3,piqa,0.35000000000000003,0.721436343852013,0.8204804045512011,0.6903887388429472,0.890184171763914,1,4083
base,sst2+record+imdb,3,rotten_tomatoes,0.55,0.9287054409005628,1.0108695652173914,0.7904424592852592,0.916249259774174,1,4083
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,8,rte,0.25,0.8411552346570397,1.1172413793103448,0.7114880329796246,0.8939615802041122,1,4083
base,mnli+qqp+anli_r1+hellaswag,4,scitail,0.30000000000000004,0.8650047036688617,0.8993055555555556,0.7031866535544395,0.892273908747094,2,4083
base,qnli+paws+winogrande,3,stsb,0.45,0.7050690498082994,0.7072360813857026,0.5255250272873256,0.8469237802284104,1,4083
