combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
anli_r1+hellaswag,0.3897058823529412,0.581651376146789,0.628158844765343,0.6558005752636625,0.7142857142857143,0.7812793979303857,0.24446181716449283,0.8271276595744681,0.7936210131332082,0.554042904290429,0.71,0.7170837867247007
anli_r1+imdb,0.45098039215686275,0.4951070336391437,0.592057761732852,0.6653883029721956,0.3392857142857143,0.8090310442144873,0.34785517625537565,0.9095744680851063,0.8930581613508443,0.5416666666666666,0.6,0.5968443960826986
anli_r1+paws,0.35049019607843135,0.590519877675841,0.6425992779783394,0.5397890699904123,0.5714285714285714,0.8179680150517403,0.311839206696744,0.8457446808510638,0.7439024390243902,0.7345297029702971,0.01,0.004896626768226333
anli_r1+squad_v2,0.5196078431372549,0.6140672782874618,0.5812274368231047,0.5004793863854267,0.8035714285714286,0.7902163687676388,0.24591588036147596,0.8563829787234043,0.8030018761726079,0.6023102310231023,0.1,0.004896626768226333
anli_r1+winogrande,0.39215686274509803,0.5293577981651376,0.631768953068592,0.5071907957813998,0.7142857142857143,0.8118532455315146,0.46683767971263324,0.851063829787234,0.7842401500938087,0.5961221122112211,0.68,0.6594124047878128
hellaswag+winogrande,0.39215686274509803,0.4685015290519878,0.5703971119133574,0.4448705656759348,0.4107142857142857,0.5578551269990593,0.3797098331948823,0.8164893617021277,0.7607879924953096,0.47648514851485146,0.77,0.719804134929271
imdb+hellaswag,0.5514705882352942,0.4599388379204893,0.6101083032490975,0.6692233940556088,0.14285714285714285,0.6180620884289746,0.247903821776092,0.9122340425531915,0.9052532833020638,0.49566831683168316,0.7,0.7154515778019587
imdb+squad_v2,0.625,0.5336391437308868,0.628158844765343,0.5675934803451582,0.21428571428571427,0.6302916274694261,0.2467676426699081,0.9095744680851063,0.8855534709193246,0.5039191419141914,0.12,0.011425462459194777
imdb+winogrande,0.5906862745098039,0.40856269113149846,0.631768953068592,0.6069031639501438,0.16071428571428573,0.6119473189087489,0.2425813889227439,0.9122340425531915,0.9061913696060038,0.5152640264026402,0.72,0.6844396082698585
mnli+anli_r1,0.4803921568627451,0.5697247706422018,0.5270758122743683,0.6347075743048898,0.7678571428571429,0.8198494825964252,0.3658274066279377,0.7925531914893617,0.7626641651031895,0.6763613861386139,0.3,0.08052230685527748
mnli+hellaswag,0.4803921568627451,0.5990825688073395,0.5342960288808665,0.6663470757430489,0.7857142857142857,0.834901222953904,0.27601000897888883,0.8377659574468085,0.8123827392120075,0.6336633663366337,0.63,0.6158868335146899
mnli+imdb,0.5661764705882353,0.46055045871559636,0.5379061371841155,0.6481303930968361,0.6785714285714286,0.8222013170272813,0.4402177923257321,0.8936170212765957,0.8724202626641651,0.5944719471947195,0.52,0.4085963003264418
