method,combo,n_tasks,target,sar,sar_iso
lora,mnli+qnli,2,mrpc,0.4549958109855652,0.6204196214675903
lora,mnli+qnli,2,boolq,0.39626654982566833,0.6154195070266724
lora,mnli+qnli,2,rte,0.5109519958496094,0.655407726764679
lora,mnli+qnli,2,cola,0.4422529935836792,0.610404372215271
lora,mnli+qnli+qqp,3,mrpc,0.5107505917549133,0.6306953430175781
lora,mnli+qnli+qqp,3,boolq,0.4428858160972595,0.608224630355835
lora,mnli+qnli+qqp,3,rte,0.5589720606803894,0.6541627645492554
lora,mnli+qnli+qqp,3,cola,0.5000235438346863,0.6219334006309509
lora,mnli+qnli+qqp+record,4,mrpc,0.5373392701148987,0.6246553063392639
lora,mnli+qnli+qqp+record,4,boolq,0.5019098520278931,0.6056941747665405
lora,mnli+qnli+qqp+record,4,rte,0.5762495994567871,0.6458485126495361
lora,mnli+qnli+qqp+record,4,cola,0.5205420851707458,0.6095129251480103
lora,mnli+qnli+qqp+sst2,4,mrpc,0.5256539583206177,0.6341809034347534
lora,mnli+qnli+qqp+sst2,4,boolq,0.460318386554718,0.6089013814926147
lora,mnli+qnli+qqp+sst2,4,rte,0.5726385712623596,0.6629839539527893
lora,mnli+qnli+qqp+sst2,4,cola,0.5164363384246826,0.6283447742462158
lora,mnli+qnli+qqp+sst2+record,5,mrpc,0.543049693107605,0.630803644657135
lora,mnli+qnli+qqp+sst2+record,5,boolq,0.502165675163269,0.6043009757995605
lora,mnli+qnli+qqp+sst2+record,5,rte,0.5842758417129517,0.6536056399345398
lora,mnli+qnli+qqp+sst2+record,5,cola,0.5307329893112183,0.6158828735351562
lora,mnli+qnli+record,3,mrpc,0.5056706666946411,0.6193782687187195
lora,mnli+qnli+record,3,boolq,0.48476675152778625,0.610020637512207
lora,mnli+qnli+record,3,rte,0.5567613840103149,0.647746741771698
lora,mnli+qnli+record,3,cola,0.48639631271362305,0.6021193265914917
lora,mnli+qnli+sst2,3,mrpc,0.47281956672668457,0.6253015995025635
lora,mnli+qnli+sst2,3,boolq,0.42552465200424194,0.6139817237854004
lora,mnli+qnli+sst2,3,rte,0.533393383026123,0.6662817597389221
lora,mnli+qnli+sst2,3,cola,0.4660241901874542,0.6174583435058594
lora,mnli+qnli+sst2+record,4,mrpc,0.5128158330917358,0.6249907612800598
lora,mnli+qnli+sst2+record,4,boolq,0.492867648601532,0.6090455651283264
lora,mnli+qnli+sst2+record,4,rte,0.5706290006637573,0.656193733215332
lora,mnli+qnli+sst2+record,4,cola,0.5007644891738892,0.615456759929657
lora,mnli+qqp,2,mrpc,0.47949641942977905,0.6236972808837891
lora,mnli+qqp,2,boolq,0.41657745838165283,0.6081963777542114
lora,mnli+qqp,2,rte,0.5054157972335815,0.6258004307746887
lora,mnli+qqp,2,cola,0.48593080043792725,0.6188472509384155
lora,mnli+qqp+record,3,mrpc,0.5114955902099609,0.6167606711387634
lora,mnli+qqp+record,3,boolq,0.48736512660980225,0.6031395196914673
lora,mnli+qqp+record,3,rte,0.5400274991989136,0.6237406134605408
lora,mnli+qqp+record,3,cola,0.507561206817627,0.6099728345870972
lora,mnli+qqp+sst2,3,mrpc,0.4998052716255188,0.6288121938705444
lora,mnli+qqp+sst2,3,boolq,0.4387184977531433,0.6094696521759033
lora,mnli+qqp+sst2,3,rte,0.5280280113220215,0.6372185349464417
lora,mnli+qqp+sst2,3,cola,0.5042458772659302,0.6281629800796509
lora,mnli+qqp+sst2+record,4,mrpc,0.5229535102844238,0.6235291361808777
lora,mnli+qqp+sst2+record,4,boolq,0.49562978744506836,0.6046558022499084
lora,mnli+qqp+sst2+record,4,rte,0.5519516468048096,0.6323902010917664
lora,mnli+qqp+sst2+record,4,cola,0.5224695205688477,0.6164296269416809
lora,mnli+record,2,mrpc,0.4757292866706848,0.6076292395591736
lora,mnli+record,2,boolq,0.4529983401298523,0.6018012166023254
lora,mnli+record,2,rte,0.5025626420974731,0.6186250448226929
lora,mnli+record,2,cola,0.46751177310943604,0.5986768007278442
lora,mnli+sst2,2,mrpc,0.43920236825942993,0.615639865398407
lora,mnli+sst2,2,boolq,0.38266998529434204,0.6148020625114441
lora,mnli+sst2,2,rte,0.47170740365982056,0.6378710269927979
lora,mnli+sst2,2,cola,0.4474102854728699,0.6234263181686401
lora,mnli+sst2+record,3,mrpc,0.4865418076515198,0.6138917207717896
lora,mnli+sst2+record,3,boolq,0.4687364995479584,0.6075201034545898
lora,mnli+sst2+record,3,rte,0.5235463380813599,0.6292251348495483
lora,mnli+sst2+record,3,cola,0.48527777194976807,0.6131980419158936
lora,qnli+qqp,2,mrpc,0.47564899921417236,0.6328922510147095
lora,qnli+qqp,2,boolq,0.39108943939208984,0.6077798008918762
lora,qnli+qqp,2,rte,0.5117634534835815,0.657318115234375
lora,qnli+qqp,2,cola,0.4633120596408844,0.6178539395332336
lora,qnli+qqp+record,3,mrpc,0.5229219794273376,0.6233142018318176
lora,qnli+qqp+record,3,boolq,0.48357146978378296,0.603806734085083
