method,combo,n_tasks,target,best_coef,best_acc,nai
lora,mnli+qnli,2,mrpc,0.6000000000000001,0.7622549019607843,0.9335347432024169
lora,mnli+qnli,2,boolq,0.2,0.42568807339449544,0.09197939661515825
lora,mnli+qnli,2,rte,0.45,0.7509025270758123,0.9927536231884059
lora,mnli+qnli,2,cola,0.55,0.6903163950143816,0.18620689655172376
lora,mnli+qnli+qqp,3,mrpc,0.45,0.7034313725490197,0.8610271903323263
lora,mnli+qnli+qqp,3,boolq,0.05,0.3636085626911315,-0.05739514348785873
lora,mnli+qnli+qqp,3,rte,0.65,0.7220216606498195,0.9347826086956523
lora,mnli+qnli+qqp,3,cola,0.4,0.6864813039309684,0.15862068965517243
lora,mnli+qnli+qqp+record,4,mrpc,0.30000000000000004,0.7034313725490197,0.8610271903323263
lora,mnli+qnli+qqp+record,4,boolq,0.05,0.3669724770642202,-0.04930095658572479
lora,mnli+qnli+qqp+record,4,rte,0.5,0.7003610108303249,0.8913043478260869
lora,mnli+qnli+qqp+record,4,cola,0.35000000000000003,0.6836049856184084,0.1379310344827583
lora,mnli+qnli+qqp+sst2,4,mrpc,0.45,0.7083333333333334,0.867069486404834
lora,mnli+qnli+qqp+sst2,4,boolq,0.05,0.37522935779816513,-0.029433406916850677
lora,mnli+qnli+qqp+sst2,4,rte,0.5,0.7328519855595668,0.9565217391304348
lora,mnli+qnli+qqp+sst2,4,cola,0.30000000000000004,0.6893576222435283,0.17931034482758573
lora,mnli+qnli+qqp+sst2+record,5,mrpc,0.4,0.6911764705882353,0.8459214501510574
lora,mnli+qnli+qqp+sst2+record,5,boolq,0.05,0.3678899082568807,-0.047093451066961056
lora,mnli+qnli+qqp+sst2+record,5,rte,0.4,0.7148014440433214,0.920289855072464
lora,mnli+qnli+qqp+sst2+record,5,cola,0.25,0.6855225311601151,0.1517241379310344
lora,mnli+qnli+record,3,mrpc,0.55,0.7181372549019608,0.879154078549849
lora,mnli+qnli+record,3,boolq,0.15000000000000002,0.47003058103975537,0.19867549668874177
lora,mnli+qnli+record,3,rte,0.35000000000000003,0.6787003610108303,0.8478260869565218
lora,mnli+qnli+record,3,cola,0.45,0.6462128475551294,-0.1310344827586211
lora,mnli+qnli+sst2,3,mrpc,0.65,0.6936274509803921,0.8489425981873112
lora,mnli+qnli+sst2,3,boolq,0.2,0.4400611620795107,0.12656364974245762
lora,mnli+qnli+sst2,3,rte,0.4,0.7148014440433214,0.920289855072464
lora,mnli+qnli+sst2,3,cola,0.4,0.6874400767018217,0.16551724137931045
lora,mnli+qnli+sst2+record,4,mrpc,0.55,0.7058823529411765,0.8640483383685801
