group,n,min,max,median,mean,at_grid_min,at_grid_max,lo,hi,count,share
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.0000,0.0500,0,0.000000
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.0500,0.1000,8185,0.359638
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.1000,0.2000,9658,0.424360
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.2000,0.3000,2251,0.098906
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.3000,0.5000,1175,0.051628
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.5000,0.7500,747,0.032822
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,0.7500,1.0000,475,0.020871
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,1.0000,1.5000,260,0.011424
overall,22759,0.0500,1.8000,0.1000,0.1574,8185,0,1.5000,2.0000,8,0.000352
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.0000,0.0500,0,0.000000
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.0500,0.1000,1776,0.858386
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.1000,0.2000,148,0.071532
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.2000,0.3000,70,0.033833
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.3000,0.5000,68,0.032866
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.5000,0.7500,6,0.002900
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,0.7500,1.0000,1,0.000483
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,1.0000,1.5000,0,0.000000
boolq,2069,0.0500,0.7500,0.0500,0.0715,1776,0,1.5000,2.0000,0,0.000000
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.0000,0.0500,0,0.000000
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.0500,0.1000,11,0.005317
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.1000,0.2000,449,0.217013
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.2000,0.3000,224,0.108265
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.3000,0.5000,143,0.069116
cb,2069,0.0500,1.8000,0.6000,0.5554,11,0,0.5000,0.7500,538,0.260029
