method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso,n_tied,n_candidates
base,qnli+record+paws+hellaswag+winogrande,5,boolq,0.35000000000000003,0.6990825688073394,0.707147814018043,,,1,2069
base,mnli+sst2+snli,3,cb,0.8,0.8928571428571429,1.25,,,42,2069
base,record+imdb+hellaswag,3,cola,0.30000000000000004,0.6740172579098753,0.05714285714285669,,,1,2069
base,hellaswag+winogrande,2,copa,0.35000000000000003,0.77,1.0444444444444445,,,1,2069
base,sst2+record+anli_r1,3,cr,0.4,0.9335106382978723,0.9964664310954064,,,1,2069
base,record+hellaswag,2,mrpc,0.8,0.6838235294117647,0.8052325581395349,,,2,2069
base,mnli+qnli+anli_r1+paws,4,multirc,0.2,0.7572194719471947,0.7658196312904835,,,1,2069
base,imdb+hellaswag+winogrande,3,piqa,0.35000000000000003,0.721436343852013,0.8204804045512011,,,1,2069
base,sst2+record+imdb,3,rotten_tomatoes,0.55,0.9287054409005628,1.0108695652173914,,,1,2069
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,rte,0.2,0.8375451263537906,1.110344827586207,,,1,2069
base,mnli+qqp+anli_r1+hellaswag,4,scitail,0.30000000000000004,0.8650047036688617,0.8993055555555556,,,1,2069
