method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,anli_r1+hellaswag,2,mrpc,0.2,0.3897058823529412,0.45639534883720934,,
base,anli_r1+hellaswag,2,boolq,0.15000000000000002,0.581651376146789,0.44066620402498263,,
base,anli_r1+hellaswag,2,rte,0.25,0.628158844765343,0.710344827586207,,
base,anli_r1+hellaswag,2,cola,0.30000000000000004,0.6558005752636625,-0.05142857142857155,,
base,anli_r1+hellaswag,2,cb,1.8,0.7142857142857143,1.0,,
base,anli_r1+hellaswag,2,scitail,0.4,0.7812793979303857,0.8110119047619048,,
base,anli_r1+hellaswag,2,cr,0.4,0.8271276595744681,0.8551236749116607,,
base,anli_r1+hellaswag,2,rotten_tomatoes,0.4,0.7936210131332082,0.8152173913043478,,
base,anli_r1+hellaswag,2,multirc,0.25,0.554042904290429,0.2750373692077728,,
base,anli_r1+hellaswag,2,copa,0.65,0.71,0.911111111111111,,
base,anli_r1+hellaswag,2,piqa,0.45,0.7170837867247007,0.8103666245259166,,
base,anli_r1+hellaswag+winogrande,3,mrpc,0.8,0.4068627450980392,0.47674418604651164,,
base,anli_r1+hellaswag+winogrande,3,boolq,0.1,0.5198776758409785,0.3004857737682164,,
base,anli_r1+hellaswag+winogrande,3,rte,0.25,0.6606498194945848,0.7724137931034483,,
base,anli_r1+hellaswag+winogrande,3,cola,0.15000000000000002,0.5589645254074784,-0.6285714285714289,,
base,anli_r1+hellaswag+winogrande,3,cb,1.05,0.6785714285714286,0.9500000000000001,,
base,anli_r1+hellaswag+winogrande,3,scitail,0.30000000000000004,0.7681091251175918,0.7971230158730159,,
base,anli_r1+hellaswag+winogrande,3,cr,0.35000000000000003,0.8617021276595744,0.901060070671378,,
base,anli_r1+hellaswag+winogrande,3,rotten_tomatoes,0.35000000000000003,0.8161350844277674,0.847826086956522,,
base,anli_r1+hellaswag+winogrande,3,multirc,0.15000000000000002,0.5499174917491749,0.2650722471350275,,
base,anli_r1+hellaswag+winogrande,3,copa,0.35000000000000003,0.76,1.0222222222222221,,
base,anli_r1+hellaswag+winogrande,3,piqa,0.30000000000000004,0.7143634385201306,0.8040455120101139,,
base,anli_r1+imdb,2,mrpc,0.4,0.45098039215686275,0.5290697674418605,,
base,anli_r1+imdb,2,boolq,0.15000000000000002,0.4951070336391437,0.2442748091603053,,
base,anli_r1+imdb,2,rte,0.25,0.592057761732852,0.6413793103448275,,
base,anli_r1+imdb,2,cola,0.30000000000000004,0.6653883029721956,0.005714285714285801,,
base,anli_r1+imdb,2,cb,0.9,0.3392857142857143,0.47500000000000003,,
base,anli_r1+imdb,2,scitail,0.8,0.8090310442144873,0.8402777777777778,,
base,anli_r1+imdb,2,cr,0.35000000000000003,0.9095744680851063,0.9646643109540635,,
base,anli_r1+imdb,2,rotten_tomatoes,0.35000000000000003,0.8930581613508443,0.9592391304347827,,
base,anli_r1+imdb,2,multirc,0.15000000000000002,0.5416666666666666,0.2451420029895366,,
base,anli_r1+imdb,2,copa,0.4,0.6,0.6666666666666666,,
base,anli_r1+imdb,2,piqa,0.5,0.5968443960826986,0.5309734513274337,,
base,anli_r1+imdb+hellaswag,3,mrpc,0.45,0.4215686274509804,0.49418604651162795,,
base,anli_r1+imdb+hellaswag,3,boolq,0.1,0.5116207951070336,0.2817487855655794,,
base,anli_r1+imdb+hellaswag,3,rte,0.2,0.6425992779783394,0.7379310344827588,,
base,anli_r1+imdb+hellaswag,3,cola,0.2,0.6653883029721956,0.005714285714285801,,
base,anli_r1+imdb+hellaswag,3,cb,1.0,0.4107142857142857,0.575,,
base,anli_r1+imdb+hellaswag,3,scitail,0.4,0.7878645343367827,0.8179563492063492,,
base,anli_r1+imdb+hellaswag,3,cr,0.25,0.9069148936170213,0.9611307420494699,,
base,anli_r1+imdb+hellaswag,3,rotten_tomatoes,0.35000000000000003,0.8949343339587242,0.9619565217391306,,
base,anli_r1+imdb+hellaswag,3,multirc,0.1,0.5024752475247525,0.15047334329845546,,
base,anli_r1+imdb+hellaswag,3,copa,0.25,0.69,0.8666666666666666,,
base,anli_r1+imdb+hellaswag,3,piqa,0.35000000000000003,0.720892274211099,0.8192161820480405,,
base,anli_r1+imdb+hellaswag+winogrande,4,mrpc,0.4,0.47794117647058826,0.561046511627907,,
base,anli_r1+imdb+hellaswag+winogrande,4,boolq,0.1,0.4847094801223242,0.22068008327550315,,
base,anli_r1+imdb+hellaswag+winogrande,4,rte,0.2,0.6353790613718412,0.7241379310344829,,
base,anli_r1+imdb+hellaswag+winogrande,4,cola,0.15000000000000002,0.6184084372003835,-0.27428571428571447,,
