dataset,model,peft_method,exact_match,pearsonr,spearmanr
anli_r1,llama-3.2-1b-instruct,base,0.591,,
anli_r1,llama-3.2-1b-instruct,lora,0.516,,
anli_r1,llama-3.2-1b-instruct,zero-shot,0.0,,
boolq,llama-3.2-1b-instruct,base,0.8281345565749235,,
boolq,llama-3.2-1b-instruct,lora,0.8030581039755351,,
boolq,llama-3.2-1b-instruct,zero-shot,0.3874617737003058,,
cb,llama-3.2-1b-instruct,base,0.7142857142857143,,
cb,llama-3.2-1b-instruct,lora,0.6607142857142857,,
cb,llama-3.2-1b-instruct,zero-shot,0.0,,
cola,llama-3.2-1b-instruct,base,0.8322147651006712,,
cola,llama-3.2-1b-instruct,lora,0.8034515819750719,,
cola,llama-3.2-1b-instruct,zero-shot,0.6644295302013423,,
copa,llama-3.2-1b-instruct,base,0.75,,
copa,llama-3.2-1b-instruct,lora,0.7,,
copa,llama-3.2-1b-instruct,zero-shot,0.3,,
cr,llama-3.2-1b-instruct,base,0.9361702127659575,,
cr,llama-3.2-1b-instruct,lora,0.925531914893617,,
cr,llama-3.2-1b-instruct,zero-shot,0.18351063829787234,,
hellaswag,llama-3.2-1b-instruct,base,0.8516231826329417,,
hellaswag,llama-3.2-1b-instruct,lora,0.8244373630750846,,
hellaswag,llama-3.2-1b-instruct,zero-shot,0.0,,
imdb,llama-3.2-1b-instruct,base,0.96468,,
imdb,llama-3.2-1b-instruct,lora,0.96128,,
imdb,llama-3.2-1b-instruct,zero-shot,0.34328,,
mnli,llama-3.2-1b-instruct,base,0.8978844589096827,,
mnli,llama-3.2-1b-instruct,lora,0.8863913751017087,,
mnli,llama-3.2-1b-instruct,zero-shot,0.0005085435313262816,,
mrpc,llama-3.2-1b-instruct,base,0.8480392156862745,,
mrpc,llama-3.2-1b-instruct,lora,0.8161764705882353,,
mrpc,llama-3.2-1b-instruct,zero-shot,0.004901960784313725,,
multirc,llama-3.2-1b-instruct,base,0.8541666666666666,,
multirc,llama-3.2-1b-instruct,lora,0.8102310231023102,,
multirc,llama-3.2-1b-instruct,zero-shot,0.44018151815181517,,
paws,llama-3.2-1b-instruct,base,0.935125,,
paws,llama-3.2-1b-instruct,lora,0.92525,,
paws,llama-3.2-1b-instruct,zero-shot,0.093875,,
piqa,llama-3.2-1b-instruct,base,0.7986942328618063,,
piqa,llama-3.2-1b-instruct,lora,0.7682263329706203,,
piqa,llama-3.2-1b-instruct,zero-shot,0.36833514689880303,,
qnli,llama-3.2-1b-instruct,base,0.9287937030935384,,
qnli,llama-3.2-1b-instruct,lora,0.9273293062419916,,
qnli,llama-3.2-1b-instruct,zero-shot,0.0054914881933003845,,
qqp,llama-3.2-1b-instruct,base,0.9045510759337126,,
qqp,llama-3.2-1b-instruct,lora,0.8961167449913431,,
qqp,llama-3.2-1b-instruct,zero-shot,0.058174622804847885,,
record,llama-3.2-1b-instruct,base,0.7878228782287823,,
record,llama-3.2-1b-instruct,lora,0.739193463363205,,
record,llama-3.2-1b-instruct,zero-shot,0.005271481286241434,,
rotten_tomatoes,llama-3.2-1b-instruct,base,0.9212007504690432,,
rotten_tomatoes,llama-3.2-1b-instruct,lora,0.9165103189493433,,
rotten_tomatoes,llama-3.2-1b-instruct,zero-shot,0.23076923076923078,,
rte,llama-3.2-1b-instruct,base,0.779783393501805,,
rte,llama-3.2-1b-instruct,lora,0.7545126353790613,,
rte,llama-3.2-1b-instruct,zero-shot,0.2563176895306859,,
scitail,llama-3.2-1b-instruct,base,0.9604891815616181,,
scitail,llama-3.2-1b-instruct,lora,0.9421448730009407,,
scitail,llama-3.2-1b-instruct,zero-shot,0.012229539040451553,,
snli,llama-3.2-1b-instruct,base,0.9053,,
snli,llama-3.2-1b-instruct,lora,0.9005,,
snli,llama-3.2-1b-instruct,zero-shot,0.0,,
squad_v2,llama-3.2-1b-instruct,base,82.58232965552094,,
squad_v2,llama-3.2-1b-instruct,lora,80.19877031921166,,
squad_v2,llama-3.2-1b-instruct,zero-shot,41.86810410174345,,
sst2,llama-3.2-1b-instruct,base,0.948394495412844,,
sst2,llama-3.2-1b-instruct,lora,0.9564220183486238,,
sst2,llama-3.2-1b-instruct,zero-shot,0.38876146788990823,,
stsb,llama-3.2-1b-instruct,base,,0.8874046390015177,0.8944870631483425
stsb,llama-3.2-1b-instruct,lora,,0.8677618632609477,0.8686808694454803
stsb,llama-3.2-1b-instruct,zero-shot,,0.26459705377638365,0.29772293991232746
winogrande,llama-3.2-1b-instruct,base,0.6740331491712708,,
winogrande,llama-3.2-1b-instruct,lora,0.6393054459352802,,
winogrande,llama-3.2-1b-instruct,zero-shot,0.0,,
